Sample Checking,ISIN,Ticker,Quantity,Name,Last ClosePrice,Takara UMD 0408 LCP,Currency,Takara UMD 0408 CCY, Listed Exchange ,Section,Takara Prim Exchange,Market Cap USD,Takara UMD 0408 CUR_MKT_CAP,CUR_MKT_CAP in USD Million, Equity Shares Outstanding Mio ,Takara UMD 0408 EQY_SH_OUT,EQY_SH_OUT IN MIL, vol_260d_cal ,Takara UMD 0416 vol_260d_calc,3M Volume,Takara UMD 0408  VOLUME_AVG_3M,Average Traded Value_3M (USD),Takara UMD 0408  AVG_DAILY_VALUE_TRADED_3M,AVG_DAILY_VALUE_TRADED_3M in USD,HC Formula (%),HC Bucketing (%),HC mcap (%),"HC Max(HCmcap,formula) (%)",Penny stock penalty (if any),Full Equity Financing,Equity Financing up to LP10, Market Value USD , Full Equity Collateral Value USD , Collateral Value USD 
,US4642885887,MBB US,277,ISHARES MBS ETF,91.56,,USD,, NASDAQ GM ,#N/A Field Not Applicable,UQ,"27,962 Million",,, 305.40 ,,, 8.59 ,,"2,566,452",,"237,793,120",,,4.42%,21.25%,21.25%,21.25%,21.25%,75%,75%," 25,362 "," 19,022 "," 19,022 "
,US4642871762,TIP US,196,ISHARES TIPS BOND ETF,106.22,,USD,, NYSE Arca ,#N/A Field Not Applicable,#N/A,"18,833 Million",,, 177.30 ,,, 6.76 ,,"2,214,532",,"236,945,856",,,3.5%,21.25%,21.25%,21.25%,21.25%,75%,75%," 20,819 "," 15,614 "," 15,614 "
,US92204A5048,VHT UN,45,VANGUARD HEALTH CARE ETF,266.61,,USD,, NYSE Arca ,#N/A Field Not Applicable,UP,"17,912 Million",,, 67.18 ,,, 11.73 ,,"1,803",,"469,724",,,5.98%,21.25%,21.25%,21.25%,21.25%,75%,75%," 11,997 "," 8,998 "," 8,998 "
,US92204A7028,VGT US,30,VANGUARD INFO TECH ETF,517.98,,USD,, NYSE Arca ,#N/A Field Not Applicable,UP,"64,921 Million",,, 125.33 ,,, 18.42 ,,"514,330",,"256,806,624",,,9.24%,21.25%,21.25%,21.25%,21.25%,75%,75%," 15,539 "," 11,655 "," 11,655 "
,HK0817039453,817 HK,"7,970,000",CHINA JINMAO HOLDINGS GROUP,0.61,0.48,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"1,019 Million",,," 13,499.59 ",,, 55.45 ,,"31,956,000",,"2,674,711",,,26.01%,31.75%,26.5%,31.75%,31.75%,65%,65%," 621,582 "," 404,028 "," 404,028 "
,KYG4587S1049,337 HK,"13,248,000",GREENLAND HONG KONG HOLDINGS,0.275,0.218,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,96 Million,,," 2,791.89 ",,, 65.39 ,,"1,013,611",,"37,056",,,65.27%,100.%,68.5%,100.%,100.%,0%,0%," 465,793 ", -   , -   
,HK0119000674,119 HK,"1,295,000",POLY PROPERTY GROUP CO LTD,1.45,1.33,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,690 Million,,," 3,821.18 ",,, 39.83 ,,"3,576,061",,"665,551",,,20.04%,52.75%,21.25%,52.75%,52.75%,45%,45%," 240,075 "," 108,034 "," 108,034 "
,HK0000981941,8028 HK,"140,000",TIMELESS RESOURCES HOLDINGS,0.183,#N/A,HKD,#N/A, Hong Kong ,#N/A Field Not Applicable,#N/A,7 Million,,, 281.29 ,,, 63.28 ,,"54,976",,"1,237",,,41.75%,100.%,42.25%,100.%,100.%,0%,0%," 3,276 ", -   , -   
,CNE100001QS1,1359 HK,"350,000",CHINA CINDA ASSET MANAGEME-H,0.72,0.65,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"3,468 Million",,," 13,567.60 ",,, 34.30 ,,"37,536,080",,"3,562,731",,,16.52%,31.75%,21.25%,31.75%,31.75%,65%,65%," 32,219 "," 20,942 "," 20,942 "
,CNE100002367,2799 HK,"250,000",CHINA CITIC FINANCIAL ASSE-H,0.32,0.29,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"3,235 Million",,," 35,362.26 ",,, 40.95 ,,"31,269,490",,"1,384,304",,,19.39%,31.75%,21.25%,31.75%,42.25%,55%,55%," 10,228 "," 5,626 "," 5,626 "
